CC28,Telok Blangah,直落布兰雅,தெலுக் பிளாங்கா,8 October 2011,Telok Blangah / Keppel,TLB,Bukit Merah,—
CC29 NE1,HarbourFront,港湾,துறைமுகம்,8 October 2011,HarbourFront,HBF,Bukit Merah,North East Line ― HarbourFront― Sentosa Express VivoCity Singapore Cable Car Mount Faber Line HarbourFront Centre Singapore Cruise Centre
CE1 DT16,Bayfront,海湾舫,பேஃபிரண்ட்,14 January 2012,Bayfront / Marina Bay Sands,BFT,Downtown Core,Downtown Line
CE2 NS27,Marina Bay,滨海湾,மரீனா பே,14 January 2012,Marina Bay,MRB,"Downtown Core, Straits View Planning Area",North South Line
DT1 BP6,Bukit Panjang,武吉班让,புக்கிட் பாஞ்சாங்,27 December 2015,Petir,BKP,"Bukit Batok, Bukit Panjang, Choa Chu Kang",Bukit Panjang LRT  ― Bukit Panjang
DT2,Cashew,凯秀,கேஷ்யூ,27 December 2015,Cashew / Chestnut / Hazel Park,CSW,"Bukit Batok, Bukit Panjang",—
DT3,Hillview,山景,ஹில்வியூ,27 December 2015,Hillview / Dairy Farm / Upper Bukit Timah,HVW,"Bukit Batok, Bukit Panjang",—
DT5,Beauty World,美世界,பியூட்டி வோர்ல்ட்,27 December 2015,Beauty World / Anak Bukit / Seventh Mile,BTW,Bukit Timah,Beauty World[16]
DT6,King Albert Park,阿尔柏王园,கிங் ஆல்பர்ட் பார்க்,27 December 2015,Blackmore / Dunearn / King Albert Park,KAP,Bukit Timah,—
DT7,Sixth Avenue,第六道,சிக்ஸ்த் அவென்யூ,27 December 2015,Sixth Avenue / Bukit Timah / Eng Neo,SAV,Bukit Timah,—
DT8,Tan Kah Kee,陈嘉庚,டான் கா கீ,27 December 2015,Duchess / Hillcrest / Watten / Kah Kee,TKK,Bukit Timah,—
DT9 CC19,Botanic Gardens • Kebun Bunga,植物园,பூ மலை,27 December 2015,Botanic Gardens,BTN,Tanglin,Circle Line
DT10,Stevens,史蒂芬,ஸ்டீவன்ஸ்,27 December 2015,Stevens / Whitley / Wayang Satu,STV,"Novena, Tanglin",—
DT11 NS21,Newton,纽顿,நியூட்டன்,27 December 2015,Newton,NEW,Newton,North South Line
DT12 NE7,Little India,小印度,லிட்டில் இந்தியா,27 December 2015,Little India,LTI,"Kallang, Rochor",North East Line
DT13,Rochor,梧槽,ரோச்சோர்,27 December 2015,Rochor / Tekka / Ophir,RCR,Rochor,—
DT14 EW12,Bugis,武吉士,பூகிஸ்,22 December 2013,Bugis,BGS,"Downtown Core, Rochor",East West Line
DT15 CC4,Promenade,宝门廊,புரொமனாட்,22 December 2013,Promenade,PMN,Downtown Core,Circle Line ― Marina Centre
DT16 CE1,Bayfront,海湾舫,பேஃபிரண்ட்,22 December 2013,Bayfront,BFT,Downtown Core,Circle Line
DT17,Downtown,市中心,டௌன்டவுன்,22 December 2013,Landmark / Central Boulevard,DTN,Downtown Core,—
DT18,Telok Ayer,直落亚逸,தெலுக் ஆயர்,22 December 2013,Cross Street / Telok Ayer,TLA,"Downtown Core, Outram",—
DT19 NE4,Chinatown,牛车水,சைனாடவுன்,22 December 2013,Hong Lim / Chinatown,CNT,Outram,North East Line
DT20,Fort Canning,福康宁,ஃபோர்ட் கெனிங்,21 October 2017,River Valley / Fort Canning,FCN,"Museum Planning Area, Singapore River Planning Area",—
DT21,Bencoolen,明古连,பென்கூலன்,21 October 2017,Bencoolen / Waterloo,BCL,"Museum Planning Area, Rochor",—
DT22,Jalan Besar,惹兰勿刹,ஜாலான் புசார்,21 October 2017,Sungei Road / Jalan Besar,JLB,Rochor,—
DT23,Bendemeer,明地迷亚,பெண்டிமியர்,21 October 2017,"Jalan Besar, Bendemeer / Kallang Avenue",BDM,Kallang,—
DT24,Geylang Bahru,芽笼峇鲁,கேலாங் பாரு,21 October 2017,"Kallang Bahru, Geylang Bahru / Kolam Ayer",GLB,Kallang,—
DT25,Mattar,玛达,மாத்தார்,21 October 2017,Mattar / Merpati,MTR,Geylang,—
DT26 CC10,MacPherson,麦波申,மெக்பர்சன்,21 October 2017,MacPherson,MPS,Geylang,Circle Line
DT27,Ubi,乌美,உபி,21 October 2017,Ubi / Kampong Ubi,UBI,Geylang,—
DT28,Kaki Bukit,加基武吉,காக்கி புக்கிட்,21 October 2017,Kaki Bukit,KKB,Bedok,—
DT29,Bedok North,勿洛北,பிடோக் நார்த்,21 October 2017,Bedok Town Park / Bedok North,BDN,Bedok,—
DT30,Bedok Reservoir,勿洛蓄水池,பிடோக் ரெசவோர்,21 October 2017,Bedok Reservoir,BDR,Bedok,—
DT31,Tampines West,淡滨尼西,தெம்பினிஸ் வெஸ்ட்,21 October 2017,Tampines West,TPW,Tampines,—
